"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.31208,
"AUS","PPP","TOT","NATUSD","A","2001",1.327544,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.351978,
"AUS","PPP","TOT","NATUSD","A","2004",1.364771,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.402633,
"AUS","PPP","TOT","NATUSD","A","2007",1.42652,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.442566,
"AUS","PPP","TOT","NATUSD","A","2010",1.503624,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.473691,
"AUS","PPP","TOT","NATUSD","A","2016",1.450156,
"AUS","PPP","TOT","NATUSD","A","2017",1.477553,
"AUS","PPP","TOT","NATUSD","A","2018",1.470403,
"AUS","PPP","TOT","NATUSD","A","2019",1.47988,
"AUS","PPP","TOT","NATUSD","A","2020",1.453958,
"AUS","PPP","TOT","NATUSD","A","2021",1.447578,
"AUS","PPP","TOT","NATUSD","A","2022",1.446332,
"AUT","PPP","TOT","NATUSD","A","2000",0.907445,
"AUT","PPP","TOT","NATUSD","A","2001",0.922991,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.888123,
"AUT","PPP","TOT","NATUSD","A","2004",0.878073,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.86008,
"AUT","PPP","TOT","NATUSD","A","2007",0.868069,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.843723,
"AUT","PPP","TOT","NATUSD","A","2010",0.842233,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798813,
"AUT","PPP","TOT","NATUSD","A","2016",0.776931,
"AUT","PPP","TOT","NATUSD","A","2017",0.775009,
"AUT","PPP","TOT","NATUSD","A","2018",0.765403,
"AUT","PPP","TOT","NATUSD","A","2019",0.749138,
"AUT","PPP","TOT","NATUSD","A","2020",0.746311,
"AUT","PPP","TOT","NATUSD","A","2021",0.756308,
"AUT","PPP","TOT","NATUSD","A","2022",0.71893,
"BEL","PPP","TOT","NATUSD","A","2000",0.89994,
"BEL","PPP","TOT","NATUSD","A","2001",0.892458,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.876068,
"BEL","PPP","TOT","NATUSD","A","2004",0.888321,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.874325,
"BEL","PPP","TOT","NATUSD","A","2007",0.878862,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.850101,
"BEL","PPP","TOT","NATUSD","A","2010",0.836615,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.799998,
"BEL","PPP","TOT","NATUSD","A","2016",0.781011,
"BEL","PPP","TOT","NATUSD","A","2017",0.775634,
"BEL","PPP","TOT","NATUSD","A","2018",0.766407,
"BEL","PPP","TOT","NATUSD","A","2019",0.746601,
"BEL","PPP","TOT","NATUSD","A","2020",0.730278,
"BEL","PPP","TOT","NATUSD","A","2021",0.736686,
"BEL","PPP","TOT","NATUSD","A","2022",0.713938,
"CAN","PPP","TOT","NATUSD","A","2000",1.227599,
"CAN","PPP","TOT","NATUSD","A","2001",1.220464,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.225714,
"CAN","PPP","TOT","NATUSD","A","2004",1.232662,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205365,
"CAN","PPP","TOT","NATUSD","A","2007",1.212099,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.202244,
"CAN","PPP","TOT","NATUSD","A","2010",1.22182,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
"CAN","PPP","TOT","NATUSD","A","2012",1.244607,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.248042,
"CAN","PPP","TOT","NATUSD","A","2016",1.207045,
"CAN","PPP","TOT","NATUSD","A","2017",1.212304,
"CAN","PPP","TOT","NATUSD","A","2018",1.206524,
"CAN","PPP","TOT","NATUSD","A","2019",1.234717,
"CAN","PPP","TOT","NATUSD","A","2020",1.231061,
"CAN","PPP","TOT","NATUSD","A","2021",1.238156,
"CAN","PPP","TOT","NATUSD","A","2022",1.253835,
"CZE","PPP","TOT","NATUSD","A","2000",14.329657,
"CZE","PPP","TOT","NATUSD","A","2001",14.323551,
"CZE","PPP","TOT","NATUSD","A","2002",14.458321,
"CZE","PPP","TOT","NATUSD","A","2003",14.1753,
"CZE","PPP","TOT","NATUSD","A","2004",14.426047,
"CZE","PPP","TOT","NATUSD","A","2005",14.562493,
"CZE","PPP","TOT","NATUSD","A","2006",14.415484,
"CZE","PPP","TOT","NATUSD","A","2007",14.256975,
"CZE","PPP","TOT","NATUSD","A","2008",13.916713,
"CZE","PPP","TOT","NATUSD","A","2009",13.638294,
"CZE","PPP","TOT","NATUSD","A","2010",13.672703,
"CZE","PPP","TOT","NATUSD","A","2011",13.345305,
"CZE","PPP","TOT","NATUSD","A","2012",13.297699,
"CZE","PPP","TOT","NATUSD","A","2013",12.785271,
"CZE","PPP","TOT","NATUSD","A","2014",12.70321,
"CZE","PPP","TOT","NATUSD","A","2015",12.93798,
"CZE","PPP","TOT","NATUSD","A","2016",12.576343,
"CZE","PPP","TOT","NATUSD","A","2017",12.424986,
"CZE","PPP","TOT","NATUSD","A","2018",12.371528,
"CZE","PPP","TOT","NATUSD","A","2019",12.274474,
"CZE","PPP","TOT","NATUSD","A","2020",12.461058,
"CZE","PPP","TOT","NATUSD","A","2021",12.742986,
"CZE","PPP","TOT","NATUSD","A","2022",12.723595,
"DNK","PPP","TOT","NATUSD","A","2000",8.669627,
"DNK","PPP","TOT","NATUSD","A","2001",8.692735,
"DNK","PPP","TOT","NATUSD","A","2002",8.561606,
"DNK","PPP","TOT","NATUSD","A","2003",8.64742,
"DNK","PPP","TOT","NATUSD","A","2004",8.459778,
"DNK","PPP","TOT","NATUSD","A","2005",8.569438,
"DNK","PPP","TOT","NATUSD","A","2006",8.287644,
"DNK","PPP","TOT","NATUSD","A","2007",8.161412,
"DNK","PPP","TOT","NATUSD","A","2008",7.944128,
"DNK","PPP","TOT","NATUSD","A","2009",7.731054,
"DNK","PPP","TOT","NATUSD","A","2010",7.591225,
"DNK","PPP","TOT","NATUSD","A","2011",7.466492,
"DNK","PPP","TOT","NATUSD","A","2012",7.564136,
"DNK","PPP","TOT","NATUSD","A","2013",7.354846,
"DNK","PPP","TOT","NATUSD","A","2014",7.328674,
"DNK","PPP","TOT","NATUSD","A","2015",7.305357,
"DNK","PPP","TOT","NATUSD","A","2016",7.079856,
"DNK","PPP","TOT","NATUSD","A","2017",6.871679,
"DNK","PPP","TOT","NATUSD","A","2018",6.765997,
"DNK","PPP","TOT","NATUSD","A","2019",6.634081,
"DNK","PPP","TOT","NATUSD","A","2020",6.551107,
"DNK","PPP","TOT","NATUSD","A","2021",6.589808,
"DNK","PPP","TOT","NATUSD","A","2022",6.31981,
"FIN","PPP","TOT","NATUSD","A","2000",0.983933,
"FIN","PPP","TOT","NATUSD","A","2001",1.002746,
"FIN","PPP","TOT","NATUSD","A","2002",0.998133,
"FIN","PPP","TOT","NATUSD","A","2003",1.001951,
"FIN","PPP","TOT","NATUSD","A","2004",0.973205,
"FIN","PPP","TOT","NATUSD","A","2005",0.979424,
"FIN","PPP","TOT","NATUSD","A","2006",0.952925,
"FIN","PPP","TOT","NATUSD","A","2007",0.934698,
"FIN","PPP","TOT","NATUSD","A","2008",0.912125,
"FIN","PPP","TOT","NATUSD","A","2009",0.896493,
"FIN","PPP","TOT","NATUSD","A","2010",0.900522,
"FIN","PPP","TOT","NATUSD","A","2011",0.898068,
"FIN","PPP","TOT","NATUSD","A","2012",0.908495,
"FIN","PPP","TOT","NATUSD","A","2013",0.905357,
"FIN","PPP","TOT","NATUSD","A","2014",0.90721,
"FIN","PPP","TOT","NATUSD","A","2015",0.907748,
"FIN","PPP","TOT","NATUSD","A","2016",0.880895,
"FIN","PPP","TOT","NATUSD","A","2017",0.863657,
"FIN","PPP","TOT","NATUSD","A","2018",0.853746,
"FIN","PPP","TOT","NATUSD","A","2019",0.838421,
"FIN","PPP","TOT","NATUSD","A","2020",0.823022,
"FIN","PPP","TOT","NATUSD","A","2021",0.82669,
"FIN","PPP","TOT","NATUSD","A","2022",0.80248,
"FRA","PPP","TOT","NATUSD","A","2000",0.93019,
"FRA","PPP","TOT","NATUSD","A","2001",0.911773,
"FRA","PPP","TOT","NATUSD","A","2002",0.900678,
"FRA","PPP","TOT","NATUSD","A","2003",0.929847,
"FRA","PPP","TOT","NATUSD","A","2004",0.935121,
"FRA","PPP","TOT","NATUSD","A","2005",0.916458,
"FRA","PPP","TOT","NATUSD","A","2006",0.894745,
"FRA","PPP","TOT","NATUSD","A","2007",0.888659,
"FRA","PPP","TOT","NATUSD","A","2008",0.881874,
"FRA","PPP","TOT","NATUSD","A","2009",0.862957,
"FRA","PPP","TOT","NATUSD","A","2010",0.854675,
"FRA","PPP","TOT","NATUSD","A","2011",0.841361,
"FRA","PPP","TOT","NATUSD","A","2012",0.844301,
"FRA","PPP","TOT","NATUSD","A","2013",0.811643,
"FRA","PPP","TOT","NATUSD","A","2014",0.807565,
"FRA","PPP","TOT","NATUSD","A","2015",0.808694,
"FRA","PPP","TOT","NATUSD","A","2016",0.780044,
"FRA","PPP","TOT","NATUSD","A","2017",0.770109,
"FRA","PPP","TOT","NATUSD","A","2018",0.756166,
"FRA","PPP","TOT","NATUSD","A","2019",0.716286,
"FRA","PPP","TOT","NATUSD","A","2020",0.71036,
"FRA","PPP","TOT","NATUSD","A","2021",0.718667,
"FRA","PPP","TOT","NATUSD","A","2022",0.692756,
"DEU","PPP","TOT","NATUSD","A","2000",0.943029,
"DEU","PPP","TOT","NATUSD","A","2001",0.929789,
"DEU","PPP","TOT","NATUSD","A","2002",0.913257,
"DEU","PPP","TOT","NATUSD","A","2003",0.895891,
"DEU","PPP","TOT","NATUSD","A","2004",0.875058,
"DEU","PPP","TOT","NATUSD","A","2005",0.872721,
"DEU","PPP","TOT","NATUSD","A","2006",0.847629,
"DEU","PPP","TOT","NATUSD","A","2007",0.837197,
"DEU","PPP","TOT","NATUSD","A","2008",0.820401,
"DEU","PPP","TOT","NATUSD","A","2009",0.811098,
"DEU","PPP","TOT","NATUSD","A","2010",0.805081,
"DEU","PPP","TOT","NATUSD","A","2011",0.788739,
"DEU","PPP","TOT","NATUSD","A","2012",0.787246,
"DEU","PPP","TOT","NATUSD","A","2013",0.774784,
"DEU","PPP","TOT","NATUSD","A","2014",0.768937,
"DEU","PPP","TOT","NATUSD","A","2015",0.778122,
"DEU","PPP","TOT","NATUSD","A","2016",0.752608,
"DEU","PPP","TOT","NATUSD","A","2017",0.744783,
"DEU","PPP","TOT","NATUSD","A","2018",0.735448,
"DEU","PPP","TOT","NATUSD","A","2019",0.728249,
"DEU","PPP","TOT","NATUSD","A","2020",0.725002,
"DEU","PPP","TOT","NATUSD","A","2021",0.736277,
"DEU","PPP","TOT","NATUSD","A","2022",0.719944,
"GRC","PPP","TOT","NATUSD","A","2000",0.669644,
"GRC","PPP","TOT","NATUSD","A","2001",0.668522,
"GRC","PPP","TOT","NATUSD","A","2002",0.662967,
"GRC","PPP","TOT","NATUSD","A","2003",0.685047,
"GRC","PPP","TOT","NATUSD","A","2004",0.69451,
"GRC","PPP","TOT","NATUSD","A","2005",0.708976,
"GRC","PPP","TOT","NATUSD","A","2006",0.6925,
"GRC","PPP","TOT","NATUSD","A","2007",0.718226,
"GRC","PPP","TOT","NATUSD","A","2008",0.707951,
"GRC","PPP","TOT","NATUSD","A","2009",0.704425,
"GRC","PPP","TOT","NATUSD","A","2010",0.722013,
"GRC","PPP","TOT","NATUSD","A","2011",0.713163,
"GRC","PPP","TOT","NATUSD","A","2012",0.684663,
"GRC","PPP","TOT","NATUSD","A","2013",0.631286,
"GRC","PPP","TOT","NATUSD","A","2014",0.611135,
"GRC","PPP","TOT","NATUSD","A","2015",0.60907,
"GRC","PPP","TOT","NATUSD","A","2016",0.58858,
"GRC","PPP","TOT","NATUSD","A","2017",0.575041,
"GRC","PPP","TOT","NATUSD","A","2018",0.564857,
"GRC","PPP","TOT","NATUSD","A","2019",0.548889,
"GRC","PPP","TOT","NATUSD","A","2020",0.544068,
"GRC","PPP","TOT","NATUSD","A","2021",0.545545,
"GRC","PPP","TOT","NATUSD","A","2022",0.52849,
"HUN","PPP","TOT","NATUSD","A","2000",110.065369,
"HUN","PPP","TOT","NATUSD","A","2001",114.418258,
"HUN","PPP","TOT","NATUSD","A","2002",118.141282,
"HUN","PPP","TOT","NATUSD","A","2003",122.00604,
"HUN","PPP","TOT","NATUSD","A","2004",128.381274,
"HUN","PPP","TOT","NATUSD","A","2005",130.929945,
"HUN","PPP","TOT","NATUSD","A","2006",131.499035,
"HUN","PPP","TOT","NATUSD","A","2007",134.049856,
"HUN","PPP","TOT","NATUSD","A","2008",131.005355,
"HUN","PPP","TOT","NATUSD","A","2009",127.688976,
"HUN","PPP","TOT","NATUSD","A","2010",126.417091,
"HUN","PPP","TOT","NATUSD","A","2011",124.271836,
"HUN","PPP","TOT","NATUSD","A","2012",125.623608,
"HUN","PPP","TOT","NATUSD","A","2013",124.979432,
"HUN","PPP","TOT","NATUSD","A","2014",129.414974,
"HUN","PPP","TOT","NATUSD","A","2015",132.55351,
"HUN","PPP","TOT","NATUSD","A","2016",132.033797,
"HUN","PPP","TOT","NATUSD","A","2017",136.036522,
"HUN","PPP","TOT","NATUSD","A","2018",139.092451,
"HUN","PPP","TOT","NATUSD","A","2019",140.828438,
"HUN","PPP","TOT","NATUSD","A","2020",145.351046,
"HUN","PPP","TOT","NATUSD","A","2021",154.748155,
"HUN","PPP","TOT","NATUSD","A","2022",161.240338,
"ISL","PPP","TOT","NATUSD","A","2000",84.717215,
"ISL","PPP","TOT","NATUSD","A","2001",88.304027,
"ISL","PPP","TOT","NATUSD","A","2002",91.105413,
"ISL","PPP","TOT","NATUSD","A","2003",92.603529,
"ISL","PPP","TOT","NATUSD","A","2004",93.286208,
"ISL","PPP","TOT","NATUSD","A","2005",95.840665,
"ISL","PPP","TOT","NATUSD","A","2006",101.639332,
"ISL","PPP","TOT","NATUSD","A","2007",107.347266,
"ISL","PPP","TOT","NATUSD","A","2008",114.527003,
"ISL","PPP","TOT","NATUSD","A","2009",121.974675,
"ISL","PPP","TOT","NATUSD","A","2010",132.887715,
"ISL","PPP","TOT","NATUSD","A","2011",135.152004,
"ISL","PPP","TOT","NATUSD","A","2012",136.96767,
"ISL","PPP","TOT","NATUSD","A","2013",137.022617,
"ISL","PPP","TOT","NATUSD","A","2014",138.547869,
"ISL","PPP","TOT","NATUSD","A","2015",141.974926,
"ISL","PPP","TOT","NATUSD","A","2016",140.02995,
"ISL","PPP","TOT","NATUSD","A","2017",138.277175,
"ISL","PPP","TOT","NATUSD","A","2018",140.970278,
"ISL","PPP","TOT","NATUSD","A","2019",140.697258,
"ISL","PPP","TOT","NATUSD","A","2020",146.668369,
"ISL","PPP","TOT","NATUSD","A","2021",149.679879,
"ISL","PPP","TOT","NATUSD","A","2022",148.660051,
"IRL","PPP","TOT","NATUSD","A","2000",0.943766,
"IRL","PPP","TOT","NATUSD","A","2001",0.969445,
"IRL","PPP","TOT","NATUSD","A","2002",0.981997,
"IRL","PPP","TOT","NATUSD","A","2003",1.003885,
"IRL","PPP","TOT","NATUSD","A","2004",0.991146,
"IRL","PPP","TOT","NATUSD","A","2005",1.011707,
"IRL","PPP","TOT","NATUSD","A","2006",0.978295,
"IRL","PPP","TOT","NATUSD","A","2007",0.957671,
"IRL","PPP","TOT","NATUSD","A","2008",0.944447,
"IRL","PPP","TOT","NATUSD","A","2009",0.901275,
"IRL","PPP","TOT","NATUSD","A","2010",0.849546,
"IRL","PPP","TOT","NATUSD","A","2011",0.831513,
"IRL","PPP","TOT","NATUSD","A","2012",0.823072,
"IRL","PPP","TOT","NATUSD","A","2013",0.811228,
"IRL","PPP","TOT","NATUSD","A","2014",0.819041,
"IRL","PPP","TOT","NATUSD","A","2015",0.809686,
"IRL","PPP","TOT","NATUSD","A","2016",0.794289,
"IRL","PPP","TOT","NATUSD","A","2017",0.794405,
"IRL","PPP","TOT","NATUSD","A","2018",0.792214,
"IRL","PPP","TOT","NATUSD","A","2019",0.805766,
"IRL","PPP","TOT","NATUSD","A","2020",0.796081,
"IRL","PPP","TOT","NATUSD","A","2021",0.794732,
"IRL","PPP","TOT","NATUSD","A","2022",0.76562,
"ITA","PPP","TOT","NATUSD","A","2000",0.805206,
"ITA","PPP","TOT","NATUSD","A","2001",0.81636,
"ITA","PPP","TOT","NATUSD","A","2002",0.823489,
"ITA","PPP","TOT","NATUSD","A","2003",0.833422,
"ITA","PPP","TOT","NATUSD","A","2004",0.851859,
"ITA","PPP","TOT","NATUSD","A","2005",0.855139,
"ITA","PPP","TOT","NATUSD","A","2006",0.822895,
"ITA","PPP","TOT","NATUSD","A","2007",0.809278,
"ITA","PPP","TOT","NATUSD","A","2008",0.783694,
"ITA","PPP","TOT","NATUSD","A","2009",0.771315,
"ITA","PPP","TOT","NATUSD","A","2010",0.773168,
"ITA","PPP","TOT","NATUSD","A","2011",0.758687,
"ITA","PPP","TOT","NATUSD","A","2012",0.747731,
"ITA","PPP","TOT","NATUSD","A","2013",0.737299,
"ITA","PPP","TOT","NATUSD","A","2014",0.739644,
"ITA","PPP","TOT","NATUSD","A","2015",0.738694,
"ITA","PPP","TOT","NATUSD","A","2016",0.700544,
"ITA","PPP","TOT","NATUSD","A","2017",0.689895,
"ITA","PPP","TOT","NATUSD","A","2018",0.681219,
"ITA","PPP","TOT","NATUSD","A","2019",0.656771,
"ITA","PPP","TOT","NATUSD","A","2020",0.647709,
"ITA","PPP","TOT","NATUSD","A","2021",0.64754,
"ITA","PPP","TOT","NATUSD","A","2022",0.61742,
"JPN","PPP","TOT","NATUSD","A","2000",154.691385,
"JPN","PPP","TOT","NATUSD","A","2001",149.641888,
"JPN","PPP","TOT","NATUSD","A","2002",143.774205,
"JPN","PPP","TOT","NATUSD","A","2003",139.579081,
"JPN","PPP","TOT","NATUSD","A","2004",134.401332,
"JPN","PPP","TOT","NATUSD","A","2005",129.551955,
"JPN","PPP","TOT","NATUSD","A","2006",124.448861,
"JPN","PPP","TOT","NATUSD","A","2007",120.319482,
"JPN","PPP","TOT","NATUSD","A","2008",116.845814,
"JPN","PPP","TOT","NATUSD","A","2009",115.219075,
"JPN","PPP","TOT","NATUSD","A","2010",111.709563,
"JPN","PPP","TOT","NATUSD","A","2011",107.454281,
"JPN","PPP","TOT","NATUSD","A","2012",104.273972,
"JPN","PPP","TOT","NATUSD","A","2013",101.302673,
"JPN","PPP","TOT","NATUSD","A","2014",103.052076,
"JPN","PPP","TOT","NATUSD","A","2015",103.469437,
"JPN","PPP","TOT","NATUSD","A","2016",105.519502,
"JPN","PPP","TOT","NATUSD","A","2017",105.101901,
"JPN","PPP","TOT","NATUSD","A","2018",104.158636,
"JPN","PPP","TOT","NATUSD","A","2019",104.225919,
"JPN","PPP","TOT","NATUSD","A","2020",102.4277,
"JPN","PPP","TOT","NATUSD","A","2021",102.050113,
"JPN","PPP","TOT","NATUSD","A","2022",95.214288,
"KOR","PPP","TOT","NATUSD","A","2000",747.736794,
"KOR","PPP","TOT","NATUSD","A","2001",756.699134,
"KOR","PPP","TOT","NATUSD","A","2002",769.77179,
"KOR","PPP","TOT","NATUSD","A","2003",791.293714,
"KOR","PPP","TOT","NATUSD","A","2004",794.711552,
"KOR","PPP","TOT","NATUSD","A","2005",788.920135,
"KOR","PPP","TOT","NATUSD","A","2006",772.216161,
"KOR","PPP","TOT","NATUSD","A","2007",770.085526,
"KOR","PPP","TOT","NATUSD","A","2008",785.717886,
"KOR","PPP","TOT","NATUSD","A","2009",828.420848,
"KOR","PPP","TOT","NATUSD","A","2010",840.991702,
"KOR","PPP","TOT","NATUSD","A","2011",854.585723,
"KOR","PPP","TOT","NATUSD","A","2012",854.887268,
"KOR","PPP","TOT","NATUSD","A","2013",869.081422,
"KOR","PPP","TOT","NATUSD","A","2014",871.878106,
"KOR","PPP","TOT","NATUSD","A","2015",857.483387,
